id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,RrCUEb45ARs,তনু লবণ আমি নিজেই বানাবো😡 #trending #shorts #food  #vlog #minivlog #sea,তনু লবণ আমি নিজেই বানাবো😡 #trending #shorts #food  #vlog #minivlog #sea,3498788,69599,224,"['Expired tota vlogs', 'Trending', 'shorts', 'Food', 'vlog', 'Digha', 'travel vlog', 'mini vlog', 'na tanu na']", Expired tota vlogs,2025-10-11T08:34:00Z,22,PT53S,hd,2025-10-12T04:03:32.103804
2,fXcvKLi3bEE,"#timelapseT19start to finish alone build log cabin🎀(wooden housz) how to build wooden cabin, surviva","Dubai Marina Beach is a refreshing getaway 
#jksupaul#timelapseT19start to finish alone build log cabin 🎀(wooden house), how to build wooden cabin, surviva #


#Dubai #Beach #Marina🏖️ Baga Beach | #goa  #travel #bagabeach #shorts #short #viral  #youtubeshorts #trandingshorts #youtubeshorts #shortsfeed #comedy #ilovegadgets #foryou #fypシ゚viral #funnyshorts #fypage 

Your Search :-

baga beach view 
baga beach goa status 
baga beach goa
goa
goa Wale beach pe
goa beach
goa video
goa trip
goa vlog
goa trip plan
goa beach video youtube
goa beach vlog
goa beach status
goa beach tour
Baga beach goa
Baga beach
baga beach water sports activities
बागा बीच
baga beach tour 
baga beach near tourist places

#youtubelife #youtubeshorts #viral #goabeach #beachtime #beachday #beachsunset #trip #holiday #travel #tourism #goa #vlog #tourist #life #rest #injoylife #garib #sunil #vlog #lifestyle #life #travelvlog #dailyvlog #minivlog",541056,6384,2,[],JAVED COOL BOY,2025-10-11T10:31:05Z,22,PT18S,hd,2025-10-12T04:03:32.103885
3,smUN9eKTh68,പെട്ടി പോയി guys 🙆😀#mallusinfinland #travelvlog,പെട്ടി പോയി guys 🙆😀#mallusinfinland  #travelvlog,330884,19252,85,[],MallusinFinland,2025-10-11T15:03:31Z,26,PT1M25S,hd,2025-10-12T04:03:32.103943
4,7Hs2QnGTScs,Tripura - 25th State in our Truck Life  | EP -  23 | Tripura Trip | Puthettu Travel Vlog |,"#puthettutravelvlog #jelajaratheesh 


ലോഡുമായി നമ്മുടെ യാത്ര തുടങ്ങുന്നത് ആസ്സാമിലാണ് . മോശം റോഡും, രാവിലെ പഴങ്കഞ്ഞി കഴിക്കുന്നതും, നമ്മുടെ ലോറി ജീവിതത്തിലെ 25സംസ്ഥാനമായ ത്രിപുരയിൽ കയറുന്നതും, രാത്രി ഗോതമ്പ് ദോശ ഉണ്ടാക്കുന്നതും ഒക്കെ ആണ് ഇന്നത്തെ വീഡിയോയിൽ

Through Kerala
      https://youtu.be/ME1of95eKyw
2. To Shiroor via Arbail Ghat
      https://youtu.be/aEg50nh8EWQ
3. കുട്ട വഴി കുടകിലേയ്ക്ക്F
     https://youtu.be/ISpqRBxMs-E
4. M P Border Check Post - ലെ തിരക്കിൽ
     https://youtu.be/XFbzDmK6qJ0
5. Jallianwala Bagh $ Golden Temple
    https://youtu.be/jOay3HKjY9k
6.ഗോൽക്കൊണ്ട ഫോർട്ടും, ബിർളമന്ദിരും
     https://youtu.be/hMJdVTgDgEA
7. സാലാർ ജംഗ് മ്യൂസിയവും , ബോട്ട് യാത്രയും
     https://youtu.be/LOrs23j69Jk
8. ഭീതിപ്പെടുത്തുന്ന ഗുഹയും പൊഖ്‌റയിലെ കാഴ്ച്ചകളും
     https://youtu.be/aBCfP97OhLU
9. ഗംഗയിലൂടെ ഒരു ബോട്ട് യാത്ര
     https://youtu.be/EQiMO4WsK4g
10. Jallianwala Bagh $ Golden Temple
       https://youtu.be/jOay3HKjY9k
11. അമൃത്സറിലൂടെ വെറുതെ ഒരു കറക്കം
        https://youtu.be/UyoOjyhylBY
12. അന്നദാനം കഴിച്ചു ആന്ധ്രായിലൂടെ
        https://youtu.be/lgr5Ztf-MNE 
13. രാജസ്ഥാനിലെ ടൈഗർ റിസെർവിലൂടെ 
        https://youtu.be/vqiD0LbPOPs
14. ഞങ്ങൾ ഹരിദ്വാർ പോയ റൂട്ടും , വന്ന റൂട്ടും , കണക്കും
         https://youtu.be/D5qqhbj00hs
15. മധ്യപ്രദേശിലെ ഗ്വാളിയർ എത്തി
        https://youtu.be/-nBxH8G5ylM
16. കടലിനുള്ളിലെ ഹാജി അലി ദർഗ്ഗയും വർളി- ബാന്ദ്ര സി ലിങ്കും
         https://youtu.be/UGqC3y1kT5k
17. മസ്ജിദ്‌ ബന്തറിൽ നിന്നും ലോഡുമായി തിരികെ നാട്ടിലേക്ക്o

        https://youtu.be/alA6JSgCARk
18. ദാമിക്കുട്ടി അംഗൻവാടിയിലേയ്ക്ക്l
         https://youtu.be/i0siv6N2KUw
19. "" A Day in my life ""  of kunjikili
         https://youtu.be/noncdeDjTgA
20. മലരിക്കൽ ആമ്പൽ വസന്തം
        https://youtu.be/E6v4Tp3TC4Q
21. സേമിയ കുമ്പിളപ്പം
        https://youtu.be/zRCo1wmbYSo
22. Pampanal Water Falls at Manathoor on the Pala Thodupuzha route
   
 #familyvlog
 #youtuber 
#travelersnotebook  
#vlogger
#solotraveler
#traveler
#travelbloggers
#travelvloggers
#vlog
#travels
#india
#scenery
#traveladdict  
#vanlife 
#youtubechannel 
#travelingnature 
#angamaly  #chalakudy 
#ladytruckdriver #womentrucker #bharathbenz #newtrucks #soldier #indianarmy #indianarmytruck #ashokleyland #agartala  #tripura 
#northeastindia  #trucklife #trucklifestyle #india #driving #truckdriver #womentruckdriver #ladytruckdriver #andrapradesh #chhattisgarh #odisha #jharkhand #10million #km #odisha #meghalaya #biharFollow us:-
Facebook: https://www.facebook.com/puthettutravelvlog
Instagram: https://www.instagram.com/puthettutravelvlog/Follow us:-
Facebook: https://www.facebook.com/puthettutravelvlog
Instagram: https://www.instagram.com/puthettutravelvlog/",154864,7205,663,"['truck life', 'jalaja ratheesh', 'lady truck driver', 'indian lady truck driver', 'puthettu travel vlog', 'puthettu travel vlog latest episode', 'puthettu latest episode', 'puthettu travels', 'kerala lady truck driver', 'puthettu lady driver', 'puthettu playlist', 'puthettu videos', 'jelaja puthettu', 'Ratheesh puthettu', 'Malayali lady truck driver', 'puthettu lady truck driver', 'puthettu transport', 'lady driver', 'kottayam', 'puthettuvaravan', 'tripura', 'kerala', 'Agartala', 'chhattisgarh', '#odisha', 'Jharkhand', 'meghalaya']",Puthettu Travel Vlog,2025-10-11T05:30:07Z,19,PT41M6S,hd,2025-10-12T04:03:32.103869
5,BzimgxEaQMA,【長野県→富山県】立山黒部アルペンルート・黒部ダムを全線走破の旅,"びゅう鉄── それは、JR東日本びゅうツーリズム＆セールスがお届けする「鉄道愛を深める特別な旅」。
団体臨時列車の乗車はもちろんのこと、車両センターでの撮影会や、鉄道音の体験、廃線探訪など、鉄道を愛する方のために徹底的にこだわり抜いた企画の数々をご用意。
「乗る」「撮る」「聴く」「究める」…人それぞれの鉄道愛を携えて、集え、鉄人！

・URL
https://www.jrview-travel.com/content/sp/viewtetsu/?utm_source=suit_channel&utm_medium=video&utm_campaign=20251010spviewtetsu

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
0:00:00 1日目 東京→松本
0:01:37 2日目 立山黒部アルペンルートの旅
0:04:31 信濃大町→扇沢(バス)
0:06:32 扇沢
0:09:36 扇沢→黒部ダム（関電トンネル電気バス）
0:20:38 黒部ダム
0:25:58 自己責任の世界「黒部の谷の底」
0:35:04 黒部ダム堰堤
0:41:48 黒部湖
0:46:35 黒部湖→黒部平(黒部ケーブルカー)
0:48:16 黒部平で昼食
0:51:11 黒部平→大観峰（立山ロープウェイ）
0:52:58 大観峰
0:55:40 大観峰→室堂(立山トンネル電気バス)
0:59:19 室堂平
1:00:22 ホテル立山
1:11:01 3日目 立山登山
1:13:13 江戸時代の山小屋「立山室堂」
1:18:12 一ノ越
1:21:14 室堂平
1:21:52 みくりが池
1:22:50 地獄谷
1:24:38 エンマ台
1:29:30 室堂→弥陀ヶ原(立山高原バス)
1:33:05 弥陀ヶ原
1:36:18 弥陀ヶ原→美女平(立山高原バス)
1:40:02 美女平
1:43:45 美女平→立山(立山ケーブルカー)
1:45:42 立山
1:47:24 立山→富山（富山地方鉄道）

スーツ旅行チャンネルでは旅行記、ホテル、旅館のレビューなどを掲載しています。皆さんの楽しい旅行の参考になればと思っております。
気軽に視聴できる短い動画を扱うチャンネルはこちら
▶スーツ / Suit Channnel→https://bit.ly/3dzDc5i

ホテルを中心に紹介するチャンネル
▶スーツホテル→https://bit.ly/40wXEMb

うるさいナレーションを排除した車窓チャンネルも試験的に運用しておりますので、宜しければご覧ください。
▶スーツ車窓チャンネル→https://bit.ly/3k0ZKit

〈連絡先・SNS〉
□Twitter→https://twitter.com/usiuna7991
□Instagram→https://www.instagram.com/suit_ryoko_channel/
□事務方の連絡先→https://kanko.inc/contact/

 取材依頼や案件なども募集しておりますので、お気軽にお問い合わせください。ただ、私宛に連絡しても見逃す可能性が高いので、事務方の連絡先までお願いします。
※贈り物や差し入れに関しましては、現在受け付けておりません。

【広告募集中です】
各チャンネルにて、広告を募集しております。
私が知らなくても全国には行くべき場所、体験すべきことや商品がたくさんあると思いますので、ぜひPR手段として検討してください。
ご予算に合わせて各種プランを用意いたしました。詳しくは下記ウェブページをご覧ください。
□会社サイト→https://kanko.inc/about

〈アフィリエイト欄〉
■Amazon→https://amzn.to/2WDfxLf
■楽天トラベル→https://bit.ly/3dIR1PS

このリンクを介して買い物をして頂きますと、私の懐に売上の一定割合が入ります。しかし悩ましいのは、協力頂いた皆さんには何の見返りもないということです。せめて皆さんから頂いた額を見て、視聴者への感謝の気持ちを忘れぬようにします。

※情報の正確性について
多くの動画に複数の誤った情報が盛り込まれています。そして大抵、視聴者から訂正いただいています。こちらではそのような有益な情報が判別しやすいようハートマークをつけています。

#スーツ旅行
#旅行",73385,2067,154,"['スーツ', 'usiusa7991', 'ひとり旅', '一人旅', '旅行', 'ぼっち']",スーツ 旅行 / Suit Travel,2025-10-11T10:00:19Z,19,PT1H53M,hd,2025-10-12T04:03:32.103958
6,spajp7FG5rQ,"NAPADPAD KAMI SA NAPAKAGANDANG LUGAR NA TO SA PANGASINAN! | LAOIS, LABRADOR | ESTANZA BEACH","Sa videong ito samahan nyo kaming tuklasin ang mga magagandang hidden spot dito sa Pangasinan na pwedeng pwede para sa mga nagtitipid or low budget dahil dito, WALANG BAYAD!

Ito ang Laois ng Labrador, Pangasinan at Estanza Beach ng Lingayen, Pangasinan.

Let's go!

Wag kalimutan mag  comment, like and share at paki subscribe narin para sa mas marami pang travel adventures!
Thank you.
____________________
Dito po galing ang ating mga music background: https://share.epidemicsound.com/mbl03a",71934,1090,79,"['Pangasinan travel', 'Pangasinan hidden gems', 'Laois Labrador Pangasinan', 'Estanza Beach Lingayen', 'Pangasinan beaches', 'budget travel Philippines', 'motorcycle travel vlog', 'travel vlog Philippines', 'hidden spots Pangasinan', 'free beaches Pangasinan', 'libreng pasyalan Pangasinan', 'Pangasinan tourist spots', 'motorcycle adventure Philippines', 'travel on a budget', 'dagat sa Pangasinan', 'Pangasinan destinations', 'Labrador Pangasinan', 'Lingayen Pangasinan', 'nature trip Pangasinan', 'local travel vlog']",J4,2025-10-11T04:22:16Z,19,PT1H1M55S,hd,2025-10-12T04:03:32.103900
7,8yrpl2Vj_zg,"{🍃제주 여행 브이로그. 2탄} 우리의 먹부림은 이제 시작이야💦 | 자매여행.. 끝까지 평화로울까?👩🏻👧🏻 | 유튜버 미소랑 술자리까지🍻 (제주도 맛집, 카페 추천❗️)","#여행브이로그 #제주브이로그 #일상브이로그 

✴︎ 이 영상의 저작권은 본인에게 귀속되어 있으며, 콘텐츠에 대한 무단 도용 및 상업적 목적의 사용을 금합니다
✴︎ '옷&메이크업' 정보는 더보기란 내에, '위치'는 각 영상 내에 기재되어 있습니다

*📢제주도 븨-로그 2탄 낋여왔습니다❗️*
1탄에서도 야무지게 먹었던 김씨 외자 자매들….
2탄이라고 별 다를 거 있을까요… 그냥 먹어요….. 아니? 더 먹어요..🐷💦
이게 냠냠굿인지 브이로그인지 헷갈린다는 자냥이 분들이 계셨는데
이건 명.백.한 ""여행 브이로그""입니다…:)
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

마지막까지 “싸우지 말자”가 저희 여행의 모토였는데..
김자매들은 끝까지 평화롭게 지내다 집에 갈 수 있을지..!
6년 만에 갔던 동생과의 제주 여행, 얼마 되지 않은 것 같은데
편집하면서 계속 보다 보니, 또 오래된 추억 같고 그렇더라구요..🥹💚
생각대로 흘러가지도 않고, 지치기도 했었는데 역시 지나고 나면 ‘즐거웠구나~’ 싶더라구요,,
그게 여행의 묘미 아니겠냠서,, 히히𐔌՞⁔⸝⸝ɞ̴̶̷ ̫ ᴗ̤⸝⸝⁔՞𐦯ᯤ♡

우리 자냥이들과 처음으로 같이 공유해본 저의 여행 븨로그,,
마지막까지 제주 냄새 가득 담은 2탄도 재밌게 즐겨주시길 바라요🫰🏻

그럼 오늘 영상도 재밌으셨다면 구독과 좋아요, 하고픈 말은 꼭꼭 댓글로 알려주세요!
우린 다음 영상에서 또 만나요 자냥덜 ꈍ◡ꈍ♥

🔗Instagram : @_k_jixxy
📨E-mail : kjinyaa@gmail.com

-

👚옷 정보 (지냐) - 동생 옷은 물려 받은 옷 및 개인 소장 제품이라 정보가 없습니다!
{Day 2} : [상의. H&M], [하의. 리마인드] 비렌 체크 와이드 팬츠,  [가방. 모티브이펙트] 글로시 스트링 백팩 실버
{Day 3} : [상의. 이즈이즈] NEW Tencel Cardigan, [상의. 블랙업] 로제릿 프릴 레이어드 나시], [하의. 미세키서울] 레이어드 스커트 팬츠 세트 차콜, [가방. 모티브이펙트] 글로시 스트링 백팩 실버
{Day 4} : [상의. 마뗑킴], [하의. 스켈리웩] 사이드 빅 로고 버뮤다 스웨트 쇼츠 블랙, [가방. 모티브이펙트] 글로시 스트링 백팩 실버

💄메이크업 정보 (지냐)
{Day 2}
*EYE : [릴리바이레드] 무드 키보드 - 로즈다이얼
*BLUSH : [릴리바이레드] 러브빔 블러 치크 - 로즈블러
*LIP : [에뛰드] 소프트 픽싱 틴트 - 카라멜뮤스

{Day 3}
*EYE : [웨이크메이크] 소프트 블러링 아이팔레트 - 뮤트로즈블러링
*BLUSH : [웨이크메이크] 쉬어 브리즈 블러셔 - 베이지로즈
*LIP : [컬러그램] 누디 블러 틴트 - 플러핑크 & 긱로즈

{Day 4}
*LIP : [로지킴] PDRN 틴티드 립 앰플 - 포트

-

⏰ᴛɪᴍᴇʟɪɴᴇ⏰ 
00:00 븨로그 2탄 미리보기
00:15 [몽탄] 내가 이거 먹으러 제주 왔다(?)
04:22 메롱바가 먹고 싶었을 뿐인데…
05:12 셋째 날 아침이 밝았습니다
05:39 커피 픽업하고 이동하실게요
05:52 [떡하니 문어떡볶이] 보통의 떡볶이가 아닙니다.. 꼭.. 꼭 먹어보세요
08:24 [워너비 제주] 보기만 해도 힐링되는 제주 소품샵 (with. 수다쟁이 깜냥이)
09:11 해안도로 달리다가 너무 예뻐서
09:59 [휴즐리] 한라봉&현무암이 아이스크림 콘 위에 톡
11:22 [랩툰] 왜 갑자기 제주에서 만화카페?
12:32 [왓츠유어플레이버] 유튜버 미소 만나러..(두근)
13:13 미소 등장!!!!!!
13:55 본격 술자리 시작!!!!
17:24 갑작스레 만난 자냥이!!!!!! (따뜻한 손편지까지ㅠㅠ)
18:09 [포토이즘] 술자리 마무리 필수 코스거든요
18:23 마지막 날.. 왜.. 왜 벌써 체크아웃인데..
18:40 상큼하게 숙취와 함께 시작해볼까요^^
19:02 [진국소한탕] 빨리 해장해, 밀어 넣어
20:00 [자유 렌터카] 제꾸랑 이별..
20:13 [모찌마루] 공항 도착 후 시간이 뜬다면?
23:12 무한 대기
23:26 즐거웠다 제주

-

🎵Music provided by 브금대통령
🎵Track : Confusing Road - https://www.youtube.com/watch?v=ydPppyQQdPc
🎵doh de oh : https://creativecommons.org/licenses/by/4.0/ 
출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100255 
아티스트: http://incompetech.com/ 
🎵Bgm : 임샛별 - 봄날의 걸음마
자료출처 : https://gongu.copyright.or.kr
Music promoted by DayDreamSound : https://youtu.be/eox9VNLtstg",26996,1018,150,"['#겟레디위드미', '#뷰티유튜버', '#메이크업', '#쿨톤메이크업', '#웜톤메이크업', '#쿨톤', '#웜톤', '#무쌍메이크업', '#무쌍', '#grwm', '#makeup', '#지냐', '#메이크업꿀팁', '#쇼츠', '#shorts', '#shortsmakeup', '#웜톤음영', '#쿨톤음영', '#가을메이크업', '#브이로그', '#일상브이로그', '#vlog', '#뷰티유튜버브이로그', '#뷰튜버브이로그', '#겟레디윗미', '#지냐브이로그', '#먹방', '#먹방브이로그', '#mukbang', '#출근메이크업', '#꾸안꾸', '#올영추천템', '#학생메이크업', '#데이트', '#데이트브이로그', '#datevlog', '#일상먹방브이로그', '#제주도', '#제주도여행', '#제주도브이로그', '#여행브이로그', '#제주브이로그', '#제주여행코스', '#제주도여행추천', '#자매여행', '#자매여행브이로그', '#지냐동생', '#제주맛집', '#제주맛집추천', '#제주먹방', '#travel', '#travelvlog', '#지냐제주', '#지냐제주브이로그', '#밀착브이로그', '#자매공감', '#자매브이로그', '#룩북', '#여행룩북', '#몽탄', '#제주몽탄', '#미소', '#맛집', '#제주도맛집', '#맛집여행', '#음주브이로그', '#술브이로그', '#술먹방', '#소맥', '#지냐미소', '#유튜버미소']",지냐 Jinyaa,2025-10-11T11:18:35Z,22,PT23M59S,hd,2025-10-12T04:03:32.103915
8,qewj-l5zlWo,கோவிலுக்குள் பெண்கள் பூவைத்து செல்ல கூடாதா?? #travel #vlog #explore #god #love #facts #new #tirupati,,24659,382,21,[],Arun Traveller,2025-10-11T12:15:09Z,24,PT48S,hd,2025-10-12T04:03:40.270351
9,DK_Oa8SnBQo,ஒரு சத்தம் மட்டும்தான்||11oct25||#minivlog #yojithamma #desiviilagelifetstyle #munnar #vlog #ytshort,#minivlog #yojithamma #desiviilagelifetstyle #munnar #travel #vlog #villagelife #home #tamil #dailyvlogs #diml #cooking #kitchen #food #teagarden #nature #shorts #shortsfeed #shortsviral #shortstamil #shortstrending #shortvideo #ytshorts,21465,918,8,"['minivlog', 'yojithamma', 'vlog', 'tamil', 'villagelife', 'home', 'cooking', 'kitchen', 'simplelife', 'munnar', 'travel', 'teagarden', 'nature', 'shorts', 'shortsfeed', 'shortsviral', 'shortstamil', 'shortstrending', 'shortsvideo', 'ytshorts']",Yojith Amma karthika,2025-10-11T08:31:22Z,24,PT43S,hd,2025-10-12T04:03:32.104017
10,Q5HYW1TZmnU,ENGLAND TRAVEL VLOG (Part 2) | Marjorie Barretto,"Thank you for watching!
Follow me on Instagram: @marjbarretto
For business inquiries: marjoriebarretto19@gmail.com",20978,505,28,"['Marjorie Barretto', ""Marjorie's Kitchen"", 'Marjorie Barretto Cooking', 'Marjorie Barretto Recipes', 'Marj Barretto', 'Cooking', 'Recipes']",Marjorie Barretto,2025-10-11T11:00:06Z,22,PT17M53S,hd,2025-10-12T04:03:32.103929
